Format, Traqmate Trackvision, V2
Track, VMP
Vehicle, Peter's DSP BMW
Driver, Peter Florance
Starting Date, 06/11/2011
Starting Time, 18:36:59.751
Sample Rate (samps/sec), 20
Duration (secs),    565.750
Analogs, Point Name, Units, Low Value, High Value, AlarmValue
A0 Disabled
A1 Disabled
A2 Disabled
A3 Disabled
Digitals, Point Name, On Name, OffName
D4
D5
GPS Reading, GPS Time, GPS Weeks, Elapsed Time, Lat (Degrees), Lon (Degrees), Lat (feet), Lon (feet), Altitude (feet), Temperature (degrees F), EastVel, NorthVel, VertVel, Velocity (MPH), Heading(Deg), XGs, YGs, RPMs, D4, D5, A0, A1, A2, A3, Gear, Brake (calc), Accel (calc), Lap 
0,67022751,1661,3.200000,37.166157,-77.524144,1.406598,0.123278,164,58.000000,0.000000,0.000000,0.000000,-0.063403,82.434567,0.100000,0.070470,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67022751,1661,3.250000,37.166157,-77.524144,1.404727,0.127224,164,58.000000,0.000000,0.000000,0.000000,-0.173073,82.434567,0.101724,0.070470,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67022751,1661,3.300000,37.166157,-77.524144,1.417304,0.127714,164,58.000000,0.000000,0.000000,0.000000,-0.284634,82.434567,0.098276,0.070470,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67022751,1661,3.350000,37.166157,-77.524144,1.425123,0.146998,164,58.000000,0.000000,0.000000,0.000000,-0.392414,82.434567,0.100000,0.072148,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67022751,1661,3.400000,37.166157,-77.524144,1.420379,0.175332,164,58.000000,0.000000,0.000000,0.000000,-0.502084,82.434567,0.098276,0.068792,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67022751,1661,3.450000,37.166157,-77.524144,1.400436,0.206242,164,58.000000,0.000000,0.000000,0.000000,-0.609864,82.434567,0.100000,0.073826,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
1,67023251,1661,3.500000,37.166157,-77.524145,1.561243,0.097579,164,58.000000,0.000000,0.000000,0.000000,0.252666,79.957829,0.100000,0.067114,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67023251,1661,3.550000,37.166157,-77.524144,1.565458,0.115555,164,58.000000,0.000000,0.000000,0.000000,0.142996,79.957829,0.098276,0.067114,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67023251,1661,3.600000,37.166157,-77.524144,1.561687,0.125216,164,58.000000,0.000000,0.000000,0.000000,0.035216,79.957829,0.101724,0.073826,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67023251,1661,3.650000,37.166157,-77.524144,1.560349,0.126769,164,58.000000,0.000000,0.000000,0.000000,-0.076345,79.957829,0.093103,0.068792,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67023251,1661,3.700000,37.166157,-77.524144,1.555912,0.129801,164,58.000000,0.000000,0.000000,0.000000,-0.178452,79.957829,0.103448,0.073826,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67023251,1661,3.750000,37.166157,-77.524144,1.566510,0.122317,164,58.000000,0.000000,0.000000,0.000000,-0.291904,79.957829,0.101724,0.065436,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
